gene	out_aug/HAP1_KO1_a_L000/HAP1_KO1_a_L000_gene_featureCounts_only_count_zscoreLog_of.csv_quantile_normalized_RPKM	out_aug/HAP1_KO1_b_L000/HAP1_KO1_b_L000_gene_featureCounts_only_count_zscoreLog_of.csv_quantile_normalized_RPKM	out_aug/HAP1_KO1_c_L000/HAP1_KO1_c_L000_gene_featureCounts_only_count_zscoreLog_of.csv_quantile_normalized_RPKM	out_aug/HAP1_P1_a_L000/HAP1_P1_a_L000_gene_featureCounts_only_count_zscoreLog_of.csv_quantile_normalized_RPKM	out_aug/HAP1_P1_b_L000/HAP1_P1_b_L000_gene_featureCounts_only_count_zscoreLog_of.csv_quantile_normalized_RPKM	out_aug/HAP1_P1_c_L000/HAP1_P1_c_L000_gene_featureCounts_only_count_zscoreLog_of.csv_quantile_normalized_RPKM
RP11-123K3.9	-0.20198241963748323	-0.008715038931097973	-0.2663556559650499	-1.3316165485287896	-1.2273595713066898	-1.4716298233060516
MIR3189	-0.49792539002251146	-0.7799829897003474	-0.855399810661115	-1.571984814640354	-1.536265391758567	-1.5492320344878998
LY96	-1.1953051111966089	-1.0525023047037914	-1.2470036223051186	-1.7035007957538464	-1.5715229911895656	-1.7512983613056365
TPRXL	-1.2305733125323972	-1.0791922388081145	-1.1637768613011366	-1.7396224656832713	-1.5689813739021388	-1.7054788267808778
EYA1	-0.028971128283582948	0.006765855153196463	-0.0242318278331674	-1.2349326562621892	-1.1521451312524018	-1.3023495289072622
PHYHD1	-0.7919898568637364	-0.9145430364802176	-0.9016484668234657	-1.544662778918318	-1.6369998620839643	-1.5185914635456672
RP11-80H5.2	-0.8669998543041643	-0.8314533432468655	-1.0499657698535874	-1.508837948278276	-1.7391578308292075	-1.5033046433020751
RP11-286O18.1	-0.3724859396603827	-0.6048125716265438	-0.5541610721704839	-1.1812082942999815	-1.6719299325840749	-1.4828404582497758
RP11-148O21.4	-0.6425574040664958	-0.8737622568855296	-0.938207139806613	-1.4202546560715017	-1.4879795710149362	-1.7477872924102635
FMO4	-0.930291749214396	-1.0454520874583804	-1.3111622574320878	-1.489037924911063	-1.6858954735167646	-1.7304770814916057
DCAF12L2	-0.05511998473985211	0.051191168156986246	0.2205341505359579	-1.15704777634608	-1.407052806142355	-0.855832273482873
LRRIQ4	-1.3597752684347089	-1.1135507763477495	-1.0491272051889868	-1.7823641348935175	-1.5105484464707555	-1.668019526149692
CNPY1	-1.0899946080246725	-1.0031206763492897	-1.0539558832343474	-1.660117471734923	-1.5297035534128676	-1.6497527792035498
CACNG5	-1.1453462880727383	-1.078651820175803	-1.3731527855497119	-1.7512844562099525	-1.6817651222812855	-1.5377811319434935
MIR3651	0.38318281313566704	0.22459191457544625	-0.17647510440030312	-0.4603969268991861	-1.5779764161550276	-1.5894090537708208
RN7SL751P	-0.9117000719647503	-0.8028107895686293	-0.9749169654287727	-1.6162024564336905	-1.3790927856113613	-1.716235255220592
FAM127C	1.1558718226194833	1.3075030746047176	1.2702531366499963	-0.21846708213044622	-0.14768662166311367	-0.24227930205364276
SNORA84	0.08868430544413014	-0.07406596331876657	-0.4542036155137263	-0.7049201460723894	-1.6328196570009739	-1.6447136885158593
OLFML3	0.5634357425827058	0.5510377166872537	0.7357733125717174	-0.7057688875111067	-0.5836471752223458	-0.8236064841255036
HHIP-AS1	-0.03645765886459013	-0.16646196941911784	-0.1632412497951947	-1.2981257616613584	-1.3167437369800068	-0.9922390740989927
RP11-227H15.5	-1.0981640654149392	-1.0932668327371655	-1.299956893042779	-1.7509700832951725	-1.727213188388923	-1.4425323637873797
RP11-1136J12.1	-1.0977258345566403	-1.3456931879844976	-1.1065716402114247	-1.5304924869372918	-1.7439400221564048	-1.6365425003366665
CTD-2377D24.4	-0.19246690374448489	-0.359566667717939	-0.23836805482986775	-1.3568506564312055	-1.2550461633400731	-1.1047562904926835
RP11-277I20.3	-0.21168780111039887	-0.10682398988211952	-0.02479621001381934	-1.5860340393265782	-0.5747202149673687	-1.7345088413454712
TXNP6	-0.664324625819318	-0.5897173893253158	-0.5561383539204375	-1.678220627323323	-1.1080061831641597	-1.512450721486183
MIR6775	0.48921944026435504	0.23854932866852305	0.22510232953505538	-0.7634338950751973	-0.7618736830864593	-0.9685833408223166
ARNTL2-AS1	-1.176878264701449	-1.0122780787158452	-1.083589189857329	-1.5033884453012278	-1.723823016895425	-1.5690385083136817
AC007405.8	-0.7289569865118578	-1.129433981818992	-0.896923807719133	-1.5247293312151549	-1.7025124558288425	-1.374891524475988
RP11-382J24.2	-1.17001678723528	-0.8713173920943081	-0.9936462569769254	-1.5962807229999192	-1.3851414365978922	-1.7370835106801463
HHIP	-0.8144538382065201	-0.9307680329744594	-0.7918142687680327	-1.4808791740966212	-1.5114402380520047	-1.488813838958577
MIR4450	0.0910182416618955	-0.5019578047002267	-0.026613520739678258	-0.594101422922915	-1.5099810044105253	-1.5243829675309999
RP11-9M16.2	-0.591182211415755	-1.039452822825694	-0.7156385920831327	-1.124824594329723	-1.6597689590191715	-1.6719091407132276
DDR2	-0.8022502761542993	-0.9143543827759765	-0.9034898324997207	-1.5198753586136238	-1.4382410249598165	-1.5137262353678491
LINC00494	-1.0874383683226385	-0.8124734427214284	-0.9572094020022506	-1.5959731403561883	-1.5624686328055175	-1.4149093595116786
RP11-383B4.4	-1.1489522898606748	-1.1481220251700024	-0.9413873298168981	-1.4096937481643546	-1.6017995589285858	-1.7369744352174492
S100A16	-0.5703349520530138	-0.6289336598887716	-0.42647521125838783	-1.3750511305248285	-1.4206408895105402	-1.1947990223754819
RP11-6E9.4	-0.9308690318112768	-0.5752384209357411	-0.8084369690826586	-1.6441903290134132	-1.6367412527635656	-1.1214243789966167
MYO3B	-1.0570542465871202	-0.9255161223982751	-1.0622318973778504	-1.5765446885502368	-1.5109486479946437	-1.535583173326705
RPRM	-0.9542939753484849	-0.6123598135734143	-0.8828845590979072	-1.2100780376969436	-1.7195231604460306	-1.4953790622593681
MAP2	-0.16188123943286048	-0.15373978609523659	-0.09476542104929143	-1.0114864448969048	-1.1843042413626848	-1.0312902149873298
SYCP3	0.0327554968477634	-0.008497401190380463	-0.09743922686773755	-0.9410015038664938	-1.0558176663782548	-0.983857723065298
RP5-855D21.1	-1.2868988532010417	-1.163472526905855	-1.0737739017107484	-1.610058729513099	-1.7355744674172353	-1.4736852294167146
MEIS3P2	-0.9375718167287252	-0.933179522502438	-0.7992980664885379	-1.5961817443800252	-1.4434555647366605	-1.421744262649123
SLC6A9	1.2477376745911024	1.2167058904230827	1.2460664745249366	0.06015532287548757	0.0013971092607115243	0.04064485078488162
LINC00365	-0.8616980537485999	-1.0124654823252106	-1.0989491620755807	-1.5623628443651951	-1.4180905096215737	-1.5949792531486713
GDF15	-0.7486539408308454	-1.0380984601627012	-0.7087831007763598	-1.7407483115180382	-1.4673299536239872	-1.2102462901273021
SLC12A3	0.3683236506412155	0.4337521877170941	0.36274500384772906	-0.8048092033590649	-0.5538222489931184	-0.6599984151457248
RP11-452J6.2	-0.7225299789030246	-0.9879239520392061	-0.5468111063739459	-1.0808884847992524	-1.6832691753408109	-1.5514867961038505
RGL3	-0.19838579616236485	-0.17192165048584304	-0.1422367284006827	-1.0907356939838384	-1.0465991039171574	-1.0485599156284893
SLC7A11	-0.02030910326759699	-0.1793782074148419	-0.03272700819826531	-0.9354207390574039	-0.9735963139861628	-1.0882802116680883
CTB-191K22.5	-0.8470589653895433	-1.0052361925489366	-0.9657750680727185	-1.7530408467699008	-1.2623133459036036	-1.5254818024609726
HRK	-1.0787042748046087	-1.1563568756783396	-0.974821717348397	-1.5171647748455537	-1.5819355266899726	-1.5390924765093217
BCHE	-1.113519407898733	-1.0868809870380833	-0.9678878577853188	-1.476378825859012	-1.5941160825913274	-1.5363259003923182
ASNS	1.1347034481723273	1.1907352211004347	1.2671602543118152	0.034252793049901975	0.09821837933566911	0.10394261300235808
RP5-912I13.2	-1.2342866397280445	-1.0365259467012815	-1.15102493698028	-1.5864322874886982	-1.4326787029605463	-1.697372072479098
RNU7-110P	-0.2414974483973733	-0.5336964949286502	-0.4679542726570829	-1.0699628237335979	-1.4953411416019964	-1.0284212430151027
RARRES3	-0.9410413360038419	-0.9569079569399374	-1.167870424215346	-1.6253333458235455	-1.3183145444476565	-1.6063670970550255
POF1B	0.36405795285395626	0.33968449286993824	0.34503186706854866	-0.7421400714761485	-0.6133066437181625	-0.5233808953450375
HAGLR	-0.6126922542963876	-0.6274873684597649	-0.5379892205635156	-1.277247597958135	-1.2637016026516243	-1.3047847527521683
PSAT1	2.8443262921207086	2.7145627000964074	2.8557226930014954	1.6808782699095146	1.6313042950800163	1.6364092378637827
FCGRT	-0.27737094354828795	0.009108924756292689	-0.016261943922917802	-0.9572057217186882	-0.8512464632203522	-1.0382088685910618
GFRA3	-0.8837959664457451	-0.9538460695586557	-0.9071680530430993	-1.3224054808449248	-1.5423273787295844	-1.5080819005788284
NENFP1	-0.23644067007146907	-0.3235706170087941	-0.13392258222517991	-0.957951383734315	-1.0743913278509396	-1.1098673174928784
RP11-417L19.2	-0.5533013743682265	-0.12750993473495703	-0.39683734744435073	-1.2406438625531373	-1.138758963022062	-0.9877446346687
NHLH1	-0.5871181441521808	-0.20492529475255425	-0.35908997724409836	-1.0177536055955003	-1.0889341794042895	-1.3236520838317998
SESN2	1.432044299859906	1.447647219822905	1.4252413665198302	0.35045454897272743	0.37147421831909144	0.35644511462575357
ADM2	0.4625911619783763	0.40293227102636636	0.22969622723487865	-0.5127743274601867	-0.5354148753525747	-0.7021165929084914
GLMP	-0.8793276957719589	-0.6028234404885217	-0.6594761486839491	-1.258235910000986	-1.3773846199278963	-1.3381884854358403
TAL1	0.15865264025170167	0.1659156095376862	0.17943296858871252	-0.6258462605001003	-0.7387805465234681	-0.8089496749544991
RP11-170M17.1	-0.6748140468128848	-0.6117662908330209	-0.5302151425172128	-1.1441427684347116	-1.2735848777800864	-1.3747240502209293
TLE1	-1.2009546656920351	-1.062558400344052	-1.1809112942471889	-1.4934019694862741	-1.5643286518649722	-1.5795382190597307
PCDH11X	-1.2279174849675214	-1.174938510014792	-1.1186418598783452	-1.6004346973850572	-1.5626228246475031	-1.501951105921236
RP11-277I20.2	-0.5251564255320038	-0.7899409097470874	-0.8972906248450783	-1.7360268301987476	-1.230621692472751	-1.107995789218972
SLC1A4	0.1554684399688052	0.08277992331568733	0.1344879949569748	-0.8712721725870117	-0.6630615263662968	-0.6642300291033566
LINC01096	-0.9505139403065388	-1.188209321666907	-1.066441690426939	-1.6575797183390728	-1.487205911911476	-1.3699528740881246
ZNF532	-0.0426163847907041	-0.08792085605157095	0.015087901622319768	-0.8989393187861203	-0.8260203826579169	-0.8261268916402255
TEX40	-0.1981519308368559	-0.3416395825984667	-0.33688363247772146	-1.0224245371800618	-1.10271785865025	-0.9764863963552667
ADPRH	-1.1542105655059443	-0.9292255804369333	-1.0995007322726127	-1.419548438093892	-1.4887654565242698	-1.5640104914105135
BHMG1	-1.1262036666538315	-1.1989333182320951	-1.155818105534676	-1.486491910305828	-1.4993369301345079	-1.6386685631682694
RGMB-AS1	-0.7167132072580563	-0.4613335946565063	-0.7332923093783802	-1.312782148493469	-1.2582081362419437	-1.1756931264319004
RP11-325K4.3	-0.9427734774247649	-1.1110184921061363	-1.1253716973956007	-1.2801285468180268	-1.7390150563321478	-1.502084143179192
RPL13AP7	-0.9533196635486141	-0.9857188396681368	-1.1604243692281506	-1.4919104996215604	-1.4641740006486044	-1.4575903920380426
RP11-513G11.4	-1.0107671860020404	-0.9982784496059497	-1.0959179274985724	-1.4557929334160211	-1.52462135790439	-1.4437620100109645
PCK2	1.8188575751068463	1.7933358953659666	1.8349511225129986	0.801520666940518	0.8781048844517398	0.7838906294948031
RP11-326C3.14	-0.6571511399464014	-0.5823161137648994	-0.5120651855937309	-1.477135483348616	-0.8741234606017577	-1.4098944422253539
AC007395.3	-0.9994191045070552	-0.9000260680027011	-0.8373039342156121	-1.4252964968437318	-1.72720441244787	-1.1553557507685261
GPT2	0.8820922480418814	0.8630098320825749	0.8624545342949754	-0.06557561428485446	-0.10541908309085925	0.025696659857637107
BBOX1-AS1	-0.9359384499739282	-0.8139761056051434	-0.7054340533157311	-1.3251889043592264	-1.4096660983161293	-1.282719794399209
RP1-18D14.7	-1.1665793008837562	-1.25095876017675	-1.1452818912089195	-1.5105039062643941	-1.5773034155263972	-1.5178076733960244
NKX2-5	-0.9023916581721333	-1.004397008575341	-0.8409396586917942	-1.4089281758307233	-1.4831075847120736	-1.2885860911375444
CTC-564N23.2	0.8041961011442671	0.9374363014124996	0.9676384538749451	-0.12866465928817455	-0.0750364046724221	0.20756761868315138
RNY1P16	1.3861526311277765	0.9708491242582575	1.1541131631791983	-0.1092888311774243	0.8063013833170487	-0.27499438351713384
RP5-1024C24.1	-0.352939623122504	-0.14189978487600965	-0.4338490798392564	-1.2225729273813772	-1.124901800547471	-0.6906710643725413
ESRG	0.5676430482388676	0.7040966406155922	0.6954985300585828	-0.10014248644425694	-0.35939543297949766	-0.1315763876726452
KCNK4-TEX40	-0.7948119928238923	-0.9564517782245064	-0.9979393713640464	-1.3338405230496566	-1.434448058756678	-1.3719085926843126
AP001625.4	-0.44967446857082577	-0.6067285301312466	-0.7222231663511831	-1.0865986412024484	-1.0570528643604977	-1.4224410048626295
ZBED3	-0.07911145675574426	-0.012219421928481761	0.1077299113199434	-0.8195655284517331	-0.818787178659812	-0.584903197481346
FEZF2	-0.8262261402603522	-0.8589964179972417	-0.905723578838961	-1.4638657123893202	-1.3276334228211604	-1.2619184547274824
VEGFA	0.4409466084589414	0.4316679735971003	0.4369287362961877	-0.36096206102362527	-0.3462007332585666	-0.41650220594497506
AC005538.3	-0.18083031499424326	-0.17182497712981165	0.061281767264563185	-0.5787240149630974	-1.103751346874635	-0.8239021999962542
CDKN1A	0.6849220767769391	0.6820104679225429	0.6924359355134544	-0.12713788767751405	-0.2205340522951733	-0.10930721921032291
RP4-536B24.2	3.265242415087781	3.291469042632435	3.187054146969143	2.3775838908280633	2.2018335147743846	2.3345274376803884
ARHGAP9	-0.3157866800742346	-0.5437841498095551	-0.6737747126486812	-1.0980990996450446	-1.212656791434592	-1.0228455805368337
ANKRD34B	-1.1341687010095238	-0.9434623736836673	-0.9962010976286322	-1.3455721218315924	-1.4147963011227958	-1.5607995530605987
MSL3P1	-0.3289471376000054	-0.31252811731169067	-0.09355901328951838	-0.6995193000889597	-1.1892265384729463	-0.9349997332796042
SLC7A5	2.848722070081364	2.818265664129402	2.7479463968372344	1.9418148260119266	1.8595457825880009	1.8292356864128583
STAC3	-0.6113507957643992	-0.45500809805002673	-0.5274343332788612	-1.2614429661651771	-0.8905796208421903	-1.2805962304407785
ANO9	-0.9781785461667342	-1.1778633489171442	-1.1612872549291051	-1.3709461877199167	-1.4397323116948064	-1.6274780239747795
RP11-173P15.9	-1.0233793221156617	-0.8897275625322674	-1.1925073580669023	-1.3633320335222168	-1.6026971470128537	-1.3513887808267069
LAMC3	-0.4262721324769776	-0.5360112717833057	-0.585805979741147	-1.1484480197272817	-1.1236360568066917	-1.0458008038408726
MIR500A	0.6605516706185547	0.5385355048138378	0.29206160723532487	-0.6395842845634181	0.1560944741974308	-0.6341303268982664
FGF13-AS1	-1.007427775232017	-0.7725408524883339	-0.7825113809756108	-1.0504213966789513	-1.4229785225964888	-1.598583388455607
RP11-390P2.4	0.9655364332924855	1.054652852528762	1.0076821548729633	0.4281047024782465	-0.037954121513941196	0.056999730373975675
PRR22	0.03719864668075998	-0.026997517420701517	-0.27490901439949295	-0.6877113335731009	-0.8164729834781321	-0.7966506731598739
FLI1	-1.1216682719526756	-1.0964271991921655	-1.1365887521519025	-1.4911273177305833	-1.5867034080312024	-1.3607579313128766
STC2	0.3247531314136371	0.25926650741694185	0.3299390437921515	-0.40248326077861357	-0.40942361020209933	-0.5286867302823827
RP11-169D4.2	0.2623091566197704	0.5566350126948537	0.4952076269430053	-0.4619210877723825	-0.19388883459318554	-0.3263784761145671
RP11-779O18.3	0.540108914441324	0.4638186705083233	0.4980375263493593	-0.30497594522719834	-0.2476342403661864	-0.24893506904149879
RP11-577H5.1	-1.0817765206510987	-1.0772520514396742	-0.8230506305287066	-1.5155914086828723	-1.358908454585589	-1.3206467265781658
RP11-521C20.2	-0.8135925094612675	-0.8969796706463822	-0.8886280669472055	-1.4238274892703067	-1.1551694520427156	-1.4120687305718955
RP1-170O19.17	-0.5091596989728985	-0.5864432230782918	-0.5306768338695551	-1.143693198397733	-1.0545277431723215	-1.116224425793722
RP11-54H7.4	-1.1355453593302147	-1.1748688266453655	-1.0905292506617104	-1.6117151802261174	-1.4092259448419322	-1.4248689060875943
IBA57-AS1	0.4763996828005661	0.5016119192183407	0.23572848268811034	-0.6360673099543178	-0.30345778156482023	-0.13537768281292897
RP11-293M10.6	-0.9609068462929216	-0.8761307633517287	-0.6653109144806605	-1.436440043999709	-1.310561671077137	-1.149830334082908
ZBED3-AS1	-1.168855792444121	-1.2052797732420024	-1.2082949654543202	-1.5156331341546203	-1.4511040931648806	-1.5607313291498093
ABHD16B	-1.009811063659462	-1.1016267339101486	-0.9362278602360369	-1.360198019486236	-1.4165355031577875	-1.441776295565837
FYN	0.7394637183648979	0.7433579090658237	0.7862229618523284	-0.023243674058353068	-0.06325584677421131	0.02445187114207891
HERPUD1	0.6413112041465561	0.7166147547324715	0.7401830904687094	-0.07403820768690579	-0.011871679802356013	-0.1119257877629452
RP11-760H22.2	0.16168919409428176	0.3597736755921903	0.12133256834131374	-0.5299756210641843	-0.6097321404879839	-0.34044344784942276
NDUFA4L2	-0.16211946637781238	-0.17315145411503588	-0.39409398279819885	-0.6743872967618071	-0.8911210156393645	-1.0594277948743716
CTH	1.8465721846243752	1.9157634190535484	1.9310696953513566	1.1233469268357714	1.0248677218615925	1.0731784848252615
OAS2	-0.6287255788653348	-0.597493165947703	-0.7253369785751101	-1.1534728816291806	-1.143690671108515	-1.1880527823355962
PCDH7	-1.1003098483011864	-1.1974213459465994	-1.2054134913612067	-1.471847509990879	-1.489498598388379	-1.495573966563786
AC026202.3	-1.0046176479976656	-0.9224613674410178	-1.0787761709613233	-1.346567580275845	-1.5666750107428742	-1.2764068193030524
CTD-2026D20.2	-1.0559109427207647	-1.171998437930975	-1.15572149093331	-1.5475844280225848	-1.2618343917876997	-1.6117636005640823
TES	-0.4844075696234816	-0.5245068212753172	-0.5639075551029944	-1.0754378822856656	-0.9975327310794673	-1.131173864452422
CARS	0.4460978320147807	0.4392824166290618	0.4716164951739852	-0.21116283397811297	-0.2766473430345116	-0.3172385212577879
RP11-381K20.2	-0.9163608077451448	-1.113079214479656	-0.9867047016065074	-1.267961882581403	-1.5440107709950803	-1.3702374492285418
CARS-AS1	-0.07168072961452988	-0.10580366196270499	-0.0759374457010493	-0.7902683919535926	-0.6146209928653024	-0.7768995765144455
ASS1	2.118384278823961	2.160987310587805	2.106694564527221	1.3465767473479795	1.2857815669483668	1.336773969259166
RP11-10A14.3	-0.5938174473851232	-0.4030031352313735	-0.5232245570087637	-0.9969150543605877	-0.9058297454533658	-1.2219520728593756
BMP7	1.2658440852199317	1.2529510959685715	1.2486320033212588	0.48201790644381376	0.5140925305333539	0.5239297778829137
TSC22D3	0.17262301461787946	0.13773252861884105	0.26111257232483703	-0.4389884856053383	-0.46196900923034045	-0.49871899506191564
SLITRK3	-0.689728306465921	-0.6094790523183624	-0.614260284094689	-1.1100024511442164	-1.2200869440142872	-1.0589115593303418
AC004549.6	-0.7872291339809604	-0.5642000872010938	-0.4649655791586072	-1.123439917960352	-1.25972298801114	-0.9368334903289754
KB-1836B5.1	-0.8370776841064949	-0.8300352713591415	-0.9573515023680855	-1.201106711697999	-1.5972844908131616	-1.1365170277530259
AL022393.9	-0.6756425204838981	-0.5933593959911321	-0.782788487811968	-1.234621113458905	-1.218791789976176	-1.0291728926100636
TRIB3	1.0843088216604317	1.0386500722200804	1.0450268447106035	0.4352622287389253	0.2503101484747804	0.2867724225682347
CEBPB	0.2542397397726119	0.06145814518247017	0.32070857003068076	-0.36871766756267293	-0.5113955461136099	-0.429207729685164
TRIML2	-0.6318112741086318	-0.6115864197694083	-0.6566255338650788	-0.9925134861612599	-1.1916903021273395	-1.1899767883586565
AP006216.10	0.12237067716623944	-0.22111410579131321	-0.06362402708371215	-0.8342407914533501	-0.528941914829682	-0.6203435876176328
RP11-265D19.6	0.5048474147010206	0.41844741293063453	0.715580474006667	-0.05340619263274842	-0.4181265782992961	0.02997915191059138
GPRASP2	-0.1488070287132592	-0.3203601685130819	-0.18741836292359043	-0.770618628901067	-1.010810168882715	-0.63107544964808
MET	0.8341652877006139	0.8258747428150289	0.8590835819495248	0.16341256515976194	0.11848435009526927	0.1400318571386522
CTD-3035D6.2	-0.3758998768424545	-0.6499886181212877	-0.6066542355843745	-1.0303080018038426	-1.1256375805637184	-0.9648224577172136
CTC-429P9.5	-0.4465575881634232	-0.2958546701387444	-0.3977595127179726	-0.9293126437293778	-0.9924562889915072	-0.8349462755233409
ERVK-28	0.8624225732645828	0.7895653967742396	0.6469719661039068	0.30590171687802636	-0.1645645161509468	0.02757850759689494
EGR3	-0.008252576492311127	0.13811094157531167	0.009136601252324496	-0.5578377645266531	-0.5943593387067975	-0.5419344756737524
SELENBP1	-0.6336504493324064	-0.6696760914458757	-0.8219888017429915	-1.251022180333711	-1.1212580640509207	-1.1097141460133573
TRABD2A	-0.7646936948432713	-0.7634005499202048	-0.6861400597156883	-1.269218499136646	-1.1618905608196706	-1.1201465746598736
RP11-478J18.2	-1.0229902910937534	-1.1350580516404363	-1.2297444367991257	-1.4494114425679332	-1.4403022481062326	-1.4198224071749217
ULBP1	0.8850373221109044	0.8130849049465141	0.8979490689863387	0.22939497737705364	0.15400538892430088	0.12950665497330963
HIST2H2AA4	-0.8974642531349314	-0.8291855665563745	-0.6748318052471887	-1.2564784143373844	-1.1727962711975308	-1.228259779899429
PDCL3P4	-1.1150323985490336	-1.0385071198880258	-1.0585949206030199	-1.412497305140877	-1.2967351986973608	-1.5011593357486417
ARPC5L	-0.7907721197426517	-0.7909746005887679	-0.806089496414539	-1.1329349408241063	-1.1980713340232694	-1.328119032574031
PYCARD-AS1	-0.9547708963291914	-1.066770912615568	-0.8992284411652898	-1.3738266651610138	-1.2030212219284746	-1.4386240098052365
ADRA2B	-0.4770425149171445	-0.4777937336032619	-0.5573708545932168	-1.0003085680877881	-1.0605997843423978	-0.9416361832342963
INSM1	-0.5134359972691679	-0.7194364185268399	-0.6265886329836889	-1.030020086322082	-1.1254386401765146	-1.0899409653178431
RP11-430B1.2	-0.7560361008621126	-0.9432826850352543	-0.7117533783007632	-1.191721496364141	-1.1285130422467153	-1.32503338263726
LAMA4	-1.1736030649003695	-1.07233771204591	-1.2033127091797107	-1.4233953866835625	-1.4437024093392046	-1.4562867275936595
RP4-798A10.7	-1.191719994122655	-1.0603169287217236	-0.9813706445857405	-1.3959928218428344	-1.2902607280774083	-1.5077799423525953
AEBP1	-0.16798523576445745	-0.16798884476584552	-0.26879999436988605	-0.796720192818798	-0.6585109483843905	-0.7937987407630701
CH17-140K24.2	0.5584991227724738	0.5606202102115649	0.2705576765195211	-0.07294739562874569	-0.353497216404087	-0.07177541873023889
CTB-54O9.9	0.6648336762856727	0.5014953997813	0.5867137177242077	-0.062873927131694	-0.12327284808198309	0.02252728874512754
CHIC2	-0.28772721578384586	-0.5421680913500974	-0.2451732065262467	-0.9310861736144708	-0.8681870752262699	-0.7985113276163147
PCDHB5	0.5780596980488115	0.5459918482157394	0.35593157900939504	-0.051510094593595616	-0.2785948604076037	-0.07603820344745403
PAX6	-1.0186493292292909	-0.9196703341728945	-0.8249068948466024	-1.3142191880433571	-1.2536107626575717	-1.289597902794444
RAX	-0.9692906019746754	-0.8339793495142273	-1.0481274137466843	-1.1211460080304747	-1.4231486259896986	-1.4067937476014871
VLDLR-AS1	-0.6391570963095227	-0.5986662975622424	-0.8190732822361244	-1.0787061933006685	-1.0778578716983764	-1.1986669096004707
PMAIP1	-0.5650023172886426	-0.6899929570175258	-0.4437665439926553	-1.2438024681732394	-0.8174421483818686	-1.0708700198935857
